,config,data
0,"['weighted,empty,random']",27984.0
1,"['weighted,empty,random']",19440.0
2,"['weighted,empty,random']",61052.0
3,"['weighted,empty,random']",16080.0
4,"['weighted,empty,random']",13472.0
5,"['weighted,empty,random']",31796.0
6,"['weighted,empty,random']",13944.0
7,"['weighted,empty,random']",31164.0
8,"['weighted,empty,random']",60608.0
9,"['weighted,empty,random']",23860.0
10,"['weighted,empty,random']",23680.0
11,"['weighted,empty,random']",14888.0
12,"['weighted,empty,random']",32428.0
13,"['weighted,empty,random']",36216.0
14,"['weighted,empty,random']",16052.0
15,"['weighted,empty,random']",12188.0
16,"['weighted,empty,random']",60156.0
17,"['weighted,empty,random']",37456.0
18,"['weighted,empty,random']",16196.0
19,"['weighted,empty,random']",60060.0
20,"['weighted,empty,random']",13328.0
21,"['weighted,empty,random']",12944.0
22,"['weighted,empty,random']",35980.0
23,"['weighted,empty,random']",15164.0
24,"['weighted,empty,random']",27948.0
25,"['weighted,empty,random']",27640.0
26,"['weighted,empty,random']",16336.0
27,"['weighted,empty,random']",27240.0
28,"['weighted,empty,random']",9052.0
29,"['weighted,empty,random']",17768.0
30,"['weighted,empty,random']",7600.0
31,"['weighted,empty,random']",35704.0
32,"['weighted,empty,random']",33060.0
33,"['weighted,empty,random']",20152.0
34,"['weighted,empty,random']",27504.0
35,"['weighted,empty,random']",17004.0
36,"['weighted,empty,random']",25352.0
37,"['weighted,empty,random']",16196.0
38,"['weighted,empty,random']",16776.0
39,"['weighted,empty,random']",35496.0
40,"['weighted,empty,random']",27252.0
41,"['weighted,empty,random']",19756.0
42,"['weighted,empty,random']",18488.0
43,"['weighted,empty,random']",16900.0
44,"['weighted,empty,random']",7876.0
45,"['weighted,empty,random']",14700.0
46,"['weighted,empty,random']",7172.0
47,"['weighted,empty,random']",17252.0
48,"['weighted,empty,random']",51448.0
49,"['weighted,empty,random']",25304.0
50,"['weighted,empty,random']",35488.0
51,"['weighted,empty,random']",28268.0
52,"['weighted,empty,random']",55980.0
53,"['weighted,empty,random']",34660.0
54,"['weighted,empty,random']",20892.0
55,"['weighted,empty,random']",36576.0
56,"['weighted,empty,random']",13956.0
57,"['weighted,empty,random']",10404.0
58,"['weighted,empty,random']",27732.0
59,"['weighted,empty,random']",17004.0
60,"['weighted,empty,random']",8224.0
61,"['weighted,empty,random']",33148.0
62,"['weighted,empty,random']",22104.0
63,"['weighted,empty,random']",14736.0
64,"['weighted,empty,random']",11616.0
65,"['weighted,empty,random']",36488.0
66,"['weighted,empty,random']",5832.0
67,"['weighted,empty,random']",16548.0
68,"['weighted,empty,random']",29256.0
69,"['weighted,empty,random']",27556.0
70,"['weighted,empty,random']",45888.0
71,"['weighted,empty,random']",18060.0
72,"['weighted,empty,random']",50964.0
73,"['weighted,empty,random']",24704.0
74,"['weighted,empty,random']",28088.0
75,"['weighted,empty,random']",27544.0
76,"['weighted,empty,random']",71312.0
77,"['weighted,empty,random']",14608.0
78,"['weighted,empty,random']",7876.0
79,"['weighted,empty,random']",21880.0
80,"['weighted,empty,random']",14028.0
81,"['weighted,empty,random']",58128.0
82,"['weighted,empty,random']",3248.0
83,"['weighted,empty,random']",30560.0
84,"['weighted,empty,random']",3172.0
85,"['weighted,empty,random']",30492.0
86,"['weighted,empty,random']",59928.0
87,"['weighted,empty,random']",9236.0
88,"['weighted,empty,random']",16380.0
89,"['weighted,empty,random']",7376.0
90,"['weighted,empty,random']",36212.0
91,"['weighted,empty,random']",16024.0
92,"['weighted,empty,random']",14108.0
93,"['weighted,empty,random']",38648.0
94,"['weighted,empty,random']",6108.0
95,"['weighted,empty,random']",36016.0
96,"['weighted,empty,random']",27748.0
97,"['weighted,empty,random']",78996.0
98,"['weighted,empty,random']",26776.0
99,"['weighted,empty,random']",27564.0
100,"['weighted,empty,random']",7440.0
101,"['weighted,empty,random']",35432.0
102,"['weighted,empty,random']",27956.0
103,"['weighted,empty,random']",35784.0
104,"['weighted,empty,random']",27244.0
105,"['weighted,empty,random']",24920.0
106,"['weighted,empty,random']",7784.0
107,"['weighted,empty,random']",36600.0
108,"['weighted,empty,random']",35888.0
109,"['weighted,empty,random']",35824.0
110,"['weighted,empty,random']",32492.0
111,"['weighted,empty,random']",27532.0
112,"['weighted,empty,random']",59060.0
113,"['weighted,empty,random']",26980.0
114,"['weighted,empty,random']",15132.0
115,"['weighted,empty,random']",16756.0
116,"['weighted,empty,random']",16404.0
117,"['weighted,empty,random']",35824.0
118,"['weighted,empty,random']",16540.0
119,"['weighted,empty,random']",32916.0
120,"['weighted,empty,random']",9224.0
121,"['weighted,empty,random']",16120.0
122,"['weighted,empty,random']",36160.0
123,"['weighted,empty,random']",36264.0
124,"['weighted,empty,random']",17828.0
125,"['weighted,empty,random']",61308.0
126,"['weighted,empty,random']",27408.0
127,"['weighted,empty,random']",72272.0
128,"['weighted,empty,random']",59144.0
129,"['weighted,empty,random']",35944.0
130,"['weighted,empty,random']",13396.0
131,"['weighted,empty,random']",16808.0
132,"['weighted,empty,random']",13320.0
133,"['weighted,empty,random']",39240.0
134,"['weighted,empty,random']",18764.0
135,"['weighted,empty,random']",12500.0
136,"['weighted,empty,random']",26668.0
137,"['weighted,empty,random']",27240.0
138,"['weighted,empty,random']",32688.0
139,"['weighted,empty,random']",25068.0
140,"['weighted,empty,random']",27340.0
141,"['weighted,empty,random']",16772.0
142,"['weighted,empty,random']",20872.0
143,"['weighted,empty,random']",31996.0
144,"['weighted,empty,random']",8820.0
145,"['weighted,empty,random']",27940.0
146,"['weighted,empty,random']",23784.0
147,"['weighted,empty,random']",61148.0
148,"['weighted,empty,random']",30968.0
149,"['weighted,empty,random']",50604.0
150,"['weighted,empty,random']",15340.0
151,"['weighted,empty,random']",7896.0
152,"['weighted,empty,random']",16120.0
153,"['weighted,empty,random']",34084.0
154,"['weighted,empty,random']",29540.0
155,"['weighted,empty,random']",14292.0
156,"['weighted,empty,random']",14592.0
157,"['weighted,empty,random']",25928.0
158,"['weighted,empty,random']",16876.0
159,"['weighted,empty,random']",12104.0
160,"['weighted,empty,random']",32092.0
161,"['weighted,empty,random']",30540.0
162,"['weighted,empty,random']",37300.0
163,"['weighted,empty,random']",27996.0
164,"['weighted,empty,random']",21780.0
165,"['weighted,empty,random']",7088.0
166,"['weighted,empty,random']",16848.0
167,"['weighted,empty,random']",18132.0
168,"['weighted,empty,random']",17760.0
169,"['weighted,empty,random']",12064.0
170,"['weighted,empty,random']",27212.0
171,"['weighted,empty,random']",8732.0
172,"['weighted,empty,random']",17948.0
173,"['weighted,empty,random']",17360.0
174,"['weighted,empty,random']",16308.0
175,"['weighted,empty,random']",16312.0
176,"['weighted,empty,random']",16228.0
177,"['weighted,empty,random']",34412.0
178,"['weighted,empty,random']",27100.0
179,"['weighted,empty,random']",12188.0
180,"['weighted,empty,random']",12800.0
181,"['weighted,empty,random']",15660.0
182,"['weighted,empty,random']",35508.0
183,"['weighted,empty,random']",36964.0
184,"['weighted,empty,random']",17904.0
185,"['weighted,empty,random']",16508.0
186,"['weighted,empty,random']",24532.0
187,"['weighted,empty,random']",18044.0
188,"['weighted,empty,random']",21088.0
189,"['weighted,empty,random']",34000.0
190,"['weighted,empty,random']",32500.0
191,"['weighted,empty,random']",36596.0
192,"['weighted,empty,random']",31704.0
193,"['weighted,empty,random']",17856.0
194,"['weighted,empty,random']",14360.0
195,"['weighted,empty,random']",8956.0
196,"['weighted,empty,random']",51008.0
197,"['weighted,empty,random']",34276.0
198,"['weighted,empty,random']",39344.0
199,"['weighted,empty,random']",16412.0
200,"['weighted,empty,random']",17488.0
201,"['weighted,empty,random']",16256.0
202,"['weighted,empty,random']",17908.0
203,"['weighted,empty,random']",16568.0
204,"['weighted,empty,random']",16512.0
205,"['weighted,empty,random']",30196.0
206,"['weighted,empty,random']",10392.0
207,"['weighted,empty,random']",12900.0
208,"['weighted,empty,random']",15460.0
209,"['weighted,empty,random']",24568.0
210,"['weighted,empty,random']",13108.0
211,"['weighted,empty,random']",23128.0
212,"['weighted,empty,random']",16412.0
213,"['weighted,empty,random']",36612.0
214,"['weighted,empty,random']",13368.0
215,"['weighted,empty,random']",7596.0
216,"['weighted,empty,random']",14484.0
217,"['weighted,empty,random']",12592.0
218,"['weighted,empty,random']",27484.0
219,"['weighted,empty,random']",28088.0
220,"['weighted,empty,random']",29936.0
221,"['weighted,empty,random']",32412.0
222,"['weighted,empty,random']",7500.0
223,"['weighted,empty,random']",36496.0
224,"['weighted,empty,random']",6184.0
225,"['weighted,empty,random']",20740.0
226,"['weighted,empty,random']",19472.0
227,"['weighted,empty,random']",70756.0
228,"['weighted,empty,random']",8084.0
229,"['weighted,empty,random']",18688.0
230,"['weighted,empty,random']",9000.0
231,"['weighted,empty,random']",6144.0
232,"['weighted,empty,random']",51936.0
233,"['weighted,empty,random']",7860.0
234,"['weighted,empty,random']",52292.0
235,"['weighted,empty,random']",8680.0
236,"['weighted,empty,random']",18116.0
237,"['weighted,empty,random']",36372.0
238,"['weighted,empty,random']",10496.0
239,"['weighted,empty,random']",8300.0
240,"['weighted,empty,random']",14396.0
241,"['weighted,empty,random']",26540.0
242,"['weighted,empty,random']",29672.0
243,"['weighted,empty,random']",13848.0
244,"['weighted,empty,random']",25840.0
245,"['weighted,empty,random']",18392.0
246,"['weighted,empty,random']",10500.0
247,"['weighted,empty,random']",12584.0
248,"['weighted,empty,random']",32172.0
249,"['weighted,empty,random']",12988.0
250,"['weighted,empty,random']",20040.0
251,"['weighted,empty,random']",28916.0
252,"['weighted,empty,random']",26084.0
253,"['weighted,empty,random']",32412.0
254,"['weighted,empty,random']",15544.0
255,"['weighted,empty,random']",13072.0
256,"['weighted,empty,random']",23412.0
257,"['weighted,empty,random']",24992.0
258,"['weighted,empty,random']",24100.0
